,P/N,Rating,Rating_count,Comment_count,Brand,Series,Price,cpu_name,cpu_code,ram_size,ram_upgradable,GPU,Battery,storage_size,storage_type,storage_extra_slot,displ_size,displ_resolution,displ_rate,weight,length,width,thickness,OS,Surface,backlit_keyboard,hdmi,headphone_jack,lan,type_c,usb_a,sd_card,url
114,70253898,4.0,3,202,dell,Inspiron 3501,24590000.0,Intel,1165G7,8.0,yes,NVIDIA GeForce MX330,42.0,512.0,SSD,yes,15.6,1920 x 1080,60,1.91,363.96,249.0,19.9,Windows 10,Plastic,no,yes,yes,yes,no,yes,yes,https://www.thegioididong.com/laptop/dell-inspiron-3501-i7-70253898?src=osp#top-tskt
115,P143G001ASL,0.0,0,26,dell,Inspiron 14 5410,24490000.0,Intel,11320H,8.0,yes,Intel Iris Xe Graphics,54.0,512.0,SSD,no,14.0,1920 x 1080,60,1.44,321.3,212.0,17.9,Windows 10,"Metal, Plastic",yes,yes,yes,no,yes,yes,yes,https://www.thegioididong.com/laptop/dell-inspiron-14-5410-i5-p143g001asl?src=osp#top-tskt
116,N5R75700U104W,0.0,0,37,dell,Inspiron 15 5515,24290000.0,AMD,5700U,8.0,yes,AMD Radeon Graphics,54.0,512.0,SSD,no,15.6,1920 x 1080,60,1.75,356.0,228.9,14.5,Windows 10,Plastic,yes,yes,yes,no,yes,yes,yes,https://www.thegioididong.com/laptop/dell-inspiron-15-5515-r7-n5r75700u104w?src=osp#top-tskt
117,KG363T,3.8,20,546,asus,ZenBook UX325EA,24290000.0,Intel,1135G7,8.0,no,Intel Iris Xe Graphics,67.0,512.0,SSD,no,13.3,1920 x 1080,60,1.14,304.2,203.0,13.9,Windows 10,Metal,yes,yes,no,no,yes,yes,yes,https://www.thegioididong.com/laptop/asus-zenbook-ux325ea-i5-kg363t?src=osp#top-tskt
118,20VA000NVN,2.7,12,163,lenovo,ThinkBook 14s G2 ITL,23690000.0,Intel,1135G7,8.0,yes,Intel Iris Xe Graphics,56.0,512.0,SSD,no,14.0,1920 x 1080,60,1.27,322.0,207.0,14.9,Windows 10,Metal,yes,yes,yes,no,yes,yes,no,https://www.thegioididong.com/laptop/lenovo-thinkbook-14s-g2-itl-i5-20va000nvn?src=osp#top-tskt
119,V4I5214W,5.0,1,73,dell,Vostro 5410,23690000.0,Intel,11320H,8.0,yes,Intel Iris Xe Graphics,54.0,512.0,SSD,no,14.0,1920 x 1080,60,1.44,321.2,212.8,17.9,Windows 10,,yes,yes,yes,yes,yes,yes,yes,https://www.thegioididong.com/laptop/dell-vostro-5410-i5-v4i5214w?src=osp#top-tskt
120,82A300DPVN,4.3,3,34,lenovo,Yoga Slim 7 14ITL05,23990000.0,Intel,1135G7,8.0,no,Intel Iris Xe Graphics,60.7,512.0,SSD,no,14.0,1920 x 1080,60,1.36,320.6,208.18,14.9,Windows 10,Metal,yes,yes,yes,no,yes,yes,yes,https://www.thegioididong.com/laptop/lenovo-yoga-slim-7-14itl05-i5-82a300dpvn?src=osp#top-tskt
121,KI429T,2.8,43,728,asus,ZenBook UX425EA,23990000.0,Intel,1135G7,8.0,no,Intel Iris Xe Graphics,67.0,512.0,SSD,no,14.0,1920 x 1080,60,1.17,319.0,208.0,13.9,Windows 10,Metal,yes,yes,no,no,yes,yes,yes,https://www.thegioididong.com/laptop/asus-zenbook-ux425ea-i5-ki429t?src=osp#top-tskt
122,669VN,0.0,0,53,msi,Gaming Modern 14 B11SBU,22990000.0,Intel,1155G7,8.0,yes,NVIDIA GeForce MX450,39.0,512.0,SSD,no,14.0,1920 x 1080,60,1.3,319.0,219.0,16.9,Windows 10,Metal,yes,yes,yes,no,yes,yes,yes,https://www.thegioididong.com/laptop/msi-gaming-modern-14-b11sbu-i5-669vn?src=osp#top-tskt
123,480VN,3.3,35,612,msi,Gaming GF63 Thin 10SC,22990000.0,Intel,10750H,8.0,yes,Q Design,51.0,512.0,SSD,yes,15.6,1920 x 1080,144,1.86,359.0,254.0,21.7,Windows 10,"Metal, Plastic",yes,yes,yes,yes,yes,yes,no,https://www.thegioididong.com/laptop/msi-gaming-gf63-thin-10sc-i7-480vn?src=osp#top-tskt
124,82L30094VN,0.0,0,112,lenovo,Ideapad 5 Pro 14ITL6,23490000.0,Intel,1135G7,8.0,no,NVIDIA GeForce MX450,56.5,512.0,SSD,no,14.0,2240x1400,60,1.41,312.2,221.0,17.99,Windows 10,Metal,yes,yes,no,no,yes,yes,yes,https://www.thegioididong.com/laptop/lenovo-ideapad-5-pro-14itl6-i5-82l30094vn?src=osp#top-tskt
