,P/N,Rating,Rating_count,Comment_count,Brand,Series,Price,cpu_name,cpu_code,ram_size,ram_upgradable,GPU,Battery,storage_size,storage_type,storage_extra_slot,displ_size,displ_resolution,displ_rate,weight,length,width,thickness,OS,Surface,Release_year,backlit_keyboard,hdmi,headphone_jack,lan,type_c,usb_a,sd_card
90,HX003T,3.3,19,140,Asus,TUF Gaming FX706HC,26990000.0,Intel,11400H,8.0,yes,NVIDIA GeForce RTX3050,48.0,512.0,SSD,yes,17.3,1920 x 1080,144,2.6,399.0,269.0,23.9,Windows 10,"Metal, Plastic",2021,yes,yes,yes,yes,yes,yes,no
91,V4I7015W,3.0,3,125,Dell,Vostro 3400,25990000.0,Intel,1165G7,8.0,yes,NVIDIA GeForce MX330,42.0,,,yes,14.0,1920 x 1080,60,1.64,328.7,239.5,19.9,Windows 10,Plastic,2020,no,yes,no,yes,yes,yes,yes
92,81Y4013UVN,4.0,12,231,Lenovo,Ideapad Gaming 3 15IMH05,25990000.0,Intel,10750H,8.0,yes,NVIDIA GeForce GTX 1650Ti 4 GB,45.0,,,yes,15.6,1920 x 1080,120,2.2,359.0,249.6,24.9,Windows 10,Plastic,2020,yes,yes,yes,yes,yes,yes,no
93,NH.QBZSV.005,3.8,13,316,Acer,Nitro 5 Gaming AN515 56 5256,25790000.0,Intel,11300H,16.0,yes,NVIDIA GeForce GTX 1650 4 GB,57.0,512.0,SSD,yes,15.6,1920 x 1080,144,2.2,363.4,255.0,23.9,Windows 10,Plastic,2021,yes,yes,yes,yes,yes,yes,no
94,NH.QD8SV.002,0.0,0,410,Acer,Nitro 5 AN515 57 51G6,25790000.0,Intel,11400H,8.0,yes,NVIDIA GeForce RTX3050,57.0,512.0,SSD,yes,15.6,1920 x 1080,144,2.2,363.4,255.0,23.9,Windows 10,Plastic,2021,yes,yes,yes,yes,yes,yes,no
95,82BH00CJVN,5.0,0,63,Lenovo,Yoga 7 14ITL5,25590000.0,Intel,1135G7,8.0,no,Intel Iris Xe Graphics,71.0,512.0,SSD,no,14.0,1920 x 1080,60,1.43,320.4,214.6,17.7,Windows 10,Metal,2020,yes,no,yes,no,yes,yes,no
96,HN139T,3.5,8,129,Asus,TUF Gaming FX506HCB,25990000.0,Intel,11400H,8.0,yes,NVIDIA GeForce RTX3050,48.0,,,yes,15.6,1920 x 1080,144,2.3,359.0,256.0,24.9,Windows 10,"Metal, Plastic",2021,yes,yes,yes,yes,yes,yes,no
97,HN002T,5.0,8,303,Asus,TUF Gaming FX506HC,25990000.0,Intel,11400H,8.0,yes,NVIDIA GeForce RTX3050,48.0,512.0,SSD,yes,15.6,1920 x 1080,144,2.3,359.0,256.0,24.9,Windows 10,"Metal, Plastic",2020,yes,yes,yes,yes,yes,yes,no
98,083VN,0.0,0,63,MSI,Gaming Bravo 15 B5DD,24990000.0,AMD,5800H,8.0,yes,AMD Radeon RX 5500M,52.0,,,no,15.6,1920 x 1080,144,2.35,359.0,259.0,24.95,Windows 10,Plastic,2021,yes,yes,yes,yes,no,yes,no
99,20VA000MVN,0.0,0,133,Lenovo,ThinkBook 14s G2 ITL,24990000.0,Intel,1165G7,8.0,no,Intel Iris Xe Graphics,56.0,512.0,SSD,no,14.0,1920 x 1080,60,1.27,322.0,207.0,14.9,Windows 10,Metal,2020,yes,yes,yes,no,yes,yes,no
100,20WE004CVN,0.0,0,159,Lenovo,ThinkBook 14s Yoga ITL,24790000.0,Intel,1135G7,8.0,yes,Intel Iris Xe Graphics,60.0,,,yes,14.0,1920 x 1080,60,1.5,320.0,216.0,16.9,Windows 10,Metal,2021,yes,yes,yes,no,yes,yes,yes
