Ryzen 3-4300U,Độ phân giải màn hình,Core i5-10210U,Core i7-9750HGTX 1650 4GB144Hz,Core i5-10300HGTX 1650 4GB 144Hz,8GB - 512GB VGA 3050,Ryzen 7-5800H  RTX3050 4GB - 165Hz,Loại card đồ họa,15 Inches512GB,Độ phân giải ,R5-5500U  8GB - 256GB,7GPU  16GB - 256GB,"Core i5-1135G7512GB - 14""",1star,Core i5-10210U8GB - 512GB,Cổng giao tiếp,Core i5-1035G7 8 GB / 128 GB,Loại RAM,M1 Pro  10 CPU - 16 GPU  16GB - 512GB,Core i5 1.4Ghz512GB,8GB - 256GB  VGA 1650,Chất liệu,Core i7-1065G716GB - 256GB,Kích thước màn hình,Core i7-1165G7  16GB - 1TB SSD,8GPU16GB - 512GB,Core i716GB - 1TB,Ryzen 5-4600HGTX1 650Ti 4GB - 144Hz,Kích thước, Core i5-10300HGTX 1650 4GB120Hz,I5-1135G7 8GB - 256GB,Ryzen 5-5600HGTX1650 4GB - 144Hz,3star,8GPU8GB - 512GB,Trọng lượng,Core i5-1035G48GB - 256GB,Core i7-10510U,Core i7-10750HGTX 1660Ti 6GB144Hz,Core i716GB - 512GB,R5-5600H - 144Hz - VGA 4GB RX5500M,special_price,Core i5-10300H  GTX1650TI - 144HZ,Ryzen 5-4680U 8 GB / 256 GB,Chất liệu tấm nền,Ryzen 5-5600H RTX3050 4GB - 165Hz,"i5-1135G 14""Intel Iris Xe Graphics",Core i7-10510U8GB - 1TB,17 Inches512GB,Core i5 2Ghz512GB,128GB,Pin,"Core i7-10750HRTX 2060 16GB15.6"" 144Hz",M1 Max  10 CPU - 32 GPU,16GB - 256GB,14 Inches256GB,Core i5-1035G7  8 GB / 256 GB,I5-11400H - VGA 4GB RTX3050TI - 144Hz,Core i7-10750HGTX 1650Ti 4GB144Hz,Core i3-10110U,Bluetooth,I3-1115G48GB - 128GB,Core i7-11370HRTX 3050Ti 4GB144Hz,Ryzen 5-4600HGTX 1650 4GB - 144Hz,I7-11800H - VGA 4GB RTX3050 - 144Hz,Ryzen 7-3700U8GB - 512GB,Đèn bàn phím,Core i58GB - 256GB,Hệ điều hành,5star,"i7-1165G7 14""Intel Iris Xe Graphics",Core i7-11370HGTX1650 4GB - 144Hz,Màn hình cảm ứng,4star,M1 Pro  8 CPU - 14 GPU  16GB - 512GB ,Ryzen 7-3750H8GB - 512GB,"Core i5-1135G7256GB - 14""",Core i3-1115G48GB - 512GB,Core i7-1165G78GB - 512GB,Ryzen 5-3550H8GB - 512GB,"i5-10210U 13.3""Intel UHD Graphics",Core i5-1135G716GB - 512GB,Loại CPU,7GPU8GB - 256GB,R7-5800H - 144Hz - VGA 4GB RX5500M,Core i7-9750HGTX 1650 4GB120Hz,Wi-Fi,R5-4600H  GTX 1650 4GB,8GPU8GB - 256GB,Ryzen 3-3250U4GB - 256GB,old_price,Core i516GB - 512GB,Core i7-10750HGTX 1650Ti 4GB 120Hz,256 GB,I5-1135G7 - 8GB - 512GB ,Core i7-10750HGTX1650 4GB - 144Hz,Công nghệ âm thanh,I7-11370H - /VGA 4GB RTX3050 - 120Hz,14 Inches512GB,I3-1115G4 4GB - 128GB,Core i5 1.4Ghz256GB,Core i5-1135G78GB - 128GB,Core i7-10870HGTX 1650Ti144Hz,comment_count,8GPU16GB - 256GB,8GB - 512GB,2star,Ryzen 5-3500U8GB - 512GB,Core i7-1165G716GB - 1TB,PENT N5030  4GB - 128GB,url,Dung lượng RAM,Webcam,Core i5-1135G78GB - 512GB,"Core i5-1135G7512GB - 15.6""VGA 2GB",I5-11400H - VGA 6GB RTX3060 - 144Hz,R5-4600H - 144Hz - VGA 3GB RX5300M ,"Core i7-10750HRTX 2070 8GB15.6"" 300Hz",I5-11300H - VGA 4GB RTX3050 - 120HZ,Core i7-10750HGTX 1650Ti 4GB - 120Hz,I3-1005G1  4GB - 128GB,Core i5-10300HGTX 1650Ti 4GB120Hz,"Core i5-1135G7512GB - 15.6""",I5-11400H - VGA 4GB RTX3050 - 144Hz,M1 Pro  10 CPU - 16 GPU  16GB - 1TB,Khe đọc thẻ nhớ,Tính năng đặc biệt,16GB - 512GB,"i5-1035G 15.6""NVIDIA GeForce MX350 2GB",Core i3-1115G44GB - 256GB,Công nghệ màn hình,Ryzen 7-4800HGTX 1650 4GB120Hz,R5-4600H1650Ti 4GB + 144Hz,I5-1035G1  8GB - 256GB,Core i5-10300HGTX1650TI 4GB144Hz,item_name,8GB - 256GB,Ryzen 5-3500U4GB - 256GB,Ryzen 5-4500U8GB - 512GB,"Core i3-1115G4256GB - 14""",Core i5-1035G48GB - 128GB,Ryzen 7-5800HRTX 3060 6G - 144Hz,Core i5-11300HGTX1650 4GB - 144Hz,Core i716GB - 256GB,Ryzen 5-4500U,Core i7-10870HGTX 1660Ti 6GB144Hz,Ryzen 7-4800HGTX 1650Ti 4GB - 144Hz,I7-11800H - VGA 4GB RTX3050TI - 144Hz,Core i3-1005G14GB - 128GB,Ryzen 5 Pro-4650U8GB - 512GB,Ryzen 7-4800HGTX 1660Ti 6GB144Hz,"Core i5-10300HGTX 1650 4GB15.6"" 120Hz",Core i58GB - 512GB,I7-1165G7 - 16GB - 512GB,Ổ cứng
,,,,,,,"GPU 8 nhân, 16 nhân Neural Engine",,,,,,0,,"2 cổng Thunderbolt / USB 4 hỗ trợ: Sạc nhanh, Thunderbolt 3, USB 4, USB 3.1 Gen 2 2 cổng USB-A Cổng Ethernet Gigabit Cổng tai nghe 3.5mm",,,,,,,,,,,,,3.6 cm x 19.7 cm x 19.7 cm,,,,0,,1.2 kg,,,,,,21.000.000,,,,,,,,,,,,,25.990.000,,,,,,Bluetooth 5.0,,,,,,,,macOS Big Sur,0,,,,0,,,,,,,,,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,,,,802.11ax Wi-Fi 6,,,,24.990.000,,,,,,,,,,,,,5,,21.000.000,0,,,,https://cellphones.com.vn/mac-mini-2020-m1-512gb.html,8GB,,,,,,,,,,,,,,Không,"Ổ cứng SSD, Wi-Fi 6",30.000.000,,,,,,,,Apple Mac mini M1 512GB 2020 I Chính hãng Apple Việt Nam,17.500.000,,,,,,,,,,,,,,,,,,512GB SSD
,1080 x 1920 pixels (FullHD),,,,,,VGA NVIDIA GeForce MX330 2GB GDDR5,,Full HD,,,,0,,2 x USB Type A 3.21 USB 3.2 Gen 2 Type C1 x HDMI 1.4b1 Micro SD Media Card Reader1 x audio,,"DDR4 3200MHz, 2 khe cắm, hỗ trợ tối đa 32GB",,,,Vỏ nhựa,,15.6 inches,,,,,365 x 234 x 14.5 mm,,,,0,,1.64 kg,,,,,,22.590.000,,,,,,,,,,3Cell 40WHrs,,,,,,,,,Bluetooth 5.1,,,,,,Có,,Windows 10 Home SL,0,,,Có,0,,,,,,,,,Intel® Core™ i5-1135G7 2.40GHz up to 4.20GHz4 nhân 8 luồng,,,,Wifi 5 802.11ac (2x2),,,,,,,,,," Realtek High Definition Audio, Loa 2 W Stereo ",,,,,,,40,,,0,,,,https://cellphones.com.vn/laptop-dell-vostro-5502-nt0x01.html,8GB, HD webcam,,,,,,,,,,,,,Có,"Ổ cứng SSD, Viền màn hình siêu mỏng, Bảo mật vân tay",,,,"300 nits Glossy, Chống chói Anti Glare, WVA, LED Backlit",,,,,Laptop Dell Vostro 5502 NT0X01,,,,,,,,,,,,,,,,,,,512GB M.2 PCIe NVMe SSD 
,1920 x 1080 pixels (FullHD),,,,,,AMD Radeon Graphics,,Full HD,,,,0,,"1 x USB-C 3.2 Gen 1 (support data transfer, Power Delivery 3.0 and DisplayPort 1.2) 1 x USB 3.2 Gen 1 1 x USB 3.2 Gen 1 (Always On) 1 x HDMI 1.4b 1 x headphone / microphone combo jack (3.5mm) 1 x 4-in-1 Card Reader",,"DDR4 3200MHz, không hỗ trợ nâng cấp",,,,,,14 inches,,,,,321.57 x 211.59 x 17.9-19.9 mm,,,,0,,1.39 kg,,,,,,15.490.000,,,Tấm nền IPS,,,,,,,3Cell 44.5WHrs,,,,,,,,,Bluetooth 5.0,,,,,,,,Windows 10 Home SL,0,,,Không,0,,,,,,,,,"AMD Ryzen R5-5500U, 2.10GHz up to 4.00GHz, 6 nhân 12 luồng",,,,"Wifi 6 802.11ac, 2x2",,,,15.690.000,,,,,,"High Definition (HD) Audio, Realtek® ALC3287 codec, Stereo speakers, 2W x2, Dolby® Audio™",,,,,,,62,,,0,,,,https://cellphones.com.vn/laptop-lenovo-ideapad-5-14alc05-82lm004fvn.html,8GB,Camera 720p có màn trập,,,,,,,,,,,,,Có,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng, Bảo mật vân tay",,,,"Màn hình chống lóa, 45% NTSC",,,,,Laptop Lenovo Ideapad 5 14ALC05 82LM004FVN,,,,,,,,,,,,,,,,,,,512GB SSD M.2 2242 PCIe 3.0x4 NVMe
,1920 x 1080 pixels (FullHD),,,,,, Intel Iris Xe Graphics,,Full HD,,,,0,,2 USB 3.2 Type-A  1 USB 2.0  1 Ethernet RJ-45br/> 1 HDMI 1.4  1 USB 3.2 Gen 2 Type-C™ (Optional),,8GB(8GBX1) DDR4 3200MHz (2 khe),,,,,,14 inches,,,,,328.7 x 239.5 x19.9 mm,,,,0,,1.64Kg,,,,,,15.890.000,,,Tấm nền VA,,,,,,,"3 cell, 42Wh",,,,,,,,,v5.0,,,,,,,,Windows 10 Home SL ,0,,,Không,0,,,,,,,,,Intel Core i3 1115G4 (4.1Ghz/6MB cache),,,,802.11ac,,,,16.890.000,,,,,,,,,,,,,11,,,0,,,,https://cellphones.com.vn/laptop-dell-vostro-3400-70235020.html,8GB,HD webcam,,,,,,,,,,,,,Có,Ổ cứng SSD,,,,60Hz,,,,,Laptop Dell Vostro 3400 70235020,,,,,,,,,,,,,,,,,,,256GB PCIe NVMe SSD
,3456 x 2234 pixels ,,,,,,32 GPU,,Retina,,,,0,,1x Headphone jack  1x MagSafe port  1x HDMI  1x Thunderbolt 4  1x SDXC,,,65.990.000,,,,,16.2 inches,,,,,1.68 x 35.57 x 24.81 cm,,,,0,,2.1kg,,,,,,92.990.000,,,,,,,,,,,,92.990.000,,,,,,,v5.0,,,,,,,,MacOS,0,,,Không,0,,,,,,,,,Apple M1 Max 10 CPU,,,,802.11ax Wi-Fi 6,,,,,,,,,,6 Loa,,,,,,,5,,,0,,,,https://cellphones.com.vn/macbook-pro-16-inch-2021-m1-max.html,32GB,1080p FaceTime HD camera,,,,,,,,,,,,70.990.000,,"Ổ cứng SSD, Wi-Fi 6, Bảo mật vân tay, Nhận diện khuôn mặt",,,,"120Hz, Liquid Retina, Mini LED, XDR",,,,,Macbook Pro 16 M1 Max 10 CPU - 32 GPU 32GB 1TB 2021,,,,,,,,,,,,,,,,,,,1TB SSD
,3456 x 2234 pixels ,,,,,,,,Retina,,,,0,,1x Headphone jack  1x MagSafe port  1x HDMI  1x Thunderbolt 4  1x SDXC,,,65.990.000,,,,,16.2 inches,,,,,1.68 x 35.57 x 24.81 cm,,,,0,,2.1kg,,,,,,65.990.000,,,,,,,,,,,,92.990.000,,,,,,,v5.0,,,,,,,,MacOS,0,,,Không,0,,,,,,,,,Apple M1 Pro,,,,802.11ax Wi-Fi 6,,,,,,,,,,6 Loa,,,,,,,10,,,0,,,,https://cellphones.com.vn/macbook-pro-16-inch-2021.html,16GB,1080p FaceTime HD camera,,,,,,,,,,,,70.990.000,,"Ổ cứng SSD, Wi-Fi 6, Bảo mật vân tay, Nhận diện khuôn mặt",,,,"120Hz, Liquid Retina, Mini LED, XDR",,,,,Macbook Pro 16 inch 2021,,,,,,,,,,,,,,,,,,,512GB SSD
,3024 x 1964 pixels ,,,,,,16 GPU,,Retina,,,,0,,1x Headphone jack  1x MagSafe port  1x HDMI  1x Thunderbolt 4  1x SDXC,,,,,,,,14.2 inches,,,,,1.6 kg,,,,0,,1.55 x 31.26 x 22.12 cm,,,,,,65.990.000,,,,,,,,,,,,,,,,,,,v5.0,,,,,,,,MacOS,0,,,Không,0,52.990.000,,,,,,,,M1 Pro/M1 Max 10 CPU,,,,802.11ax Wi-Fi 6 ,,,,,,,,,,6 loa,,,,,,,10,,,0,,,,https://cellphones.com.vn/macbook-pro-14-inch-2021-1tb.html,16GB,"1080p Camera, FaceTime",,,,,,,,,,,,65.990.000,,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng, Bảo mật vân tay, Nhận diện khuôn mặt",,,,"120Hz, Liquid Retina, Mini LED, XDR",,,,,Macbook Pro 14 M1 Pro 10 CPU - 16 GPU 16GB 1TB 2021,,,,,,,,,,,,,,,,,,,1TB SSD
,3456 x 2234 pixels ,,,,,, 16 GPU,,Retina,,,,0,,1x Headphone jack  1x MagSafe port  1x HDMI  1x Thunderbolt 4  1x SDXC,,,65.990.000,,,,,16.2 inches,,,,,1.68 x 35.57 x 24.81 cm,,,,0,,2.1kg,,,,,,70.990.000,,,,,,,,,,,,92.990.000,,,,,,,v5.0,,,,,,,,MacOS,0,,,Không,0,,,,,,,,,Apple M1 Pro (10 CPU),,,,802.11ax Wi-Fi 6,,,,,,,,,,6 Loa,,,,,,,5,,,0,,,,https://cellphones.com.vn/macbook-pro-16-inch-2021-1tb.html,16GB,1080p FaceTime HD camera,,,,,,,,,,,,70.990.000,,"Ổ cứng SSD, Wi-Fi 6, Bảo mật vân tay, Nhận diện khuôn mặt",,,,"120Hz, Liquid Retina, Mini LED, XDR",,,,,Macbook Pro M1 Pro 16 10 CPU - 16 GPU 16GB 1TB 2021,,,,,,,,,,,,,,,,,,,1TB SSD
,3456 x 2234 pixels ,,,,,, 16 GPU,,Retina,,,,0,,1x Headphone jack  1x MagSafe port  1x HDMI  1x Thunderbolt 4  1x SDXC,,,65.990.000,,,,,16.2 inches,,,,,1.68 x 35.57 x 24.81 cm,,,,0,,2.1kg,,,,,,70.990.000,,,,,,,,,,,,92.990.000,,,,,,,v5.0,,,,,,,,MacOS,0,,,Không,0,,,,,,,,,Apple M1 Pro (10 CPU),,,,802.11ax Wi-Fi 6,,,,,,,,,,6 Loa,,,,,,,5,,,0,,,,https://cellphones.com.vn/macbook-pro-16-inch-2021-1tb.html,16GB,1080p FaceTime HD camera,,,,,,,,,,,,70.990.000,,"Ổ cứng SSD, Wi-Fi 6, Bảo mật vân tay, Nhận diện khuôn mặt",,,,"120Hz, Liquid Retina, Mini LED, XDR",,,,,Macbook Pro M1 Pro 16 10 CPU - 16 GPU 16GB 1TB 2021,,,,,,,,,,,,,,,,,,,1TB SSD
,1920 x 1080 pixels (FullHD),,,,,,Intel Iris Plus Graphics,,Full HD,,,,0,,2 x USB 3.1 (Gen 2)USB-C (Thunderbolt + DisplayPort + Cấp nguồn)HDMICombo tai nghe / micrô,,,,,,,,14 inches,,,,,321.6mm x 208mm x 15.4mm,,,,0,,1.5kg,,,,,,26.490.000,,,,,,,,,,4 cell /60.7Wh,,,,,,,,,Bluetooth 5.0,,,,,,,,Windows 10 Home SL,0,,,Không,0,,,,,26.490.000,,,,"1165G7, 4.70GHz, 4 nhân 8 luồng",,,,Intel Wi-Fi 6 AX201(2*2 ax),,,,27.990.000,,,,,,,,,,,,,18,,,0,,,,https://cellphones.com.vn/laptop-lenovo-yoga-slim-7-i7.html,8GB,,22.990.000,,,,,,,,,,,,Có,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng",,,,Độ sáng 300 nits,,,,,Laptop Lenovo Yoga Slim 7 14ITL05,,,,,,,,,,,,,,,,,,,512GB M.2 PCIe NVMe SSD
,1920 x 1080 pixels (FullHD),,,,,,Intel Iris Xe Graphics,,Full HD,,,,0,,"1x Thunderbolt™ 3 (40Gbps signaling rate) with SuperSpeed USB Type-C® 10Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4, HP Sleep and Charge) 1x SuperSpeed USB Type-A 5Gbps signaling rate (HP Sleep and Charge) 1x SuperSpeed USB Type-",,"DDR4 2666MHz, không hỗ trợ nâng cấp",,,,Vỏ nhựa,,13.3 inches,,,,,30.65 x 19.46 x 1.69 cm,,,,0,,1.3 kg,,,,,,22.990.000,,,Tấm nền IPS,,,,,,,3 Cell 51WHr,,,,,,,,,v5.0,,,,,,Có,,Windows 10 Home SL ,0,,,Không,0,,,,,,,,,"Intel Core i5-1135G7 up to 4.2GHz, 8MB",,,,Intel® Wi-Fi 6 AX 201 (2x2),,,,23.990.000,,,,,,"HP Audio Boost, 2 loa",,,,,,,6,,,0,,,,https://cellphones.com.vn/laptop-hp-envy-13-ba1537tu-4u6p0pa.html,8GB,HD 720p ,,,,,,,,,,,,,Có,"Ổ cứng SSD, Wi-Fi 6",,,,100% sRGB 400 nits,,,,,Laptop HP Envy 13-BA1537TU 4U6P0PA,,,,,,,,,,,,,,,,,,,256GB PCIe® NVMe™ M.2 SSD
,2560 x 1440 pixels (2K),,,,,,Geforce RTX 3060 6GB,,2K (Quad HD),,,,0,,"1 x Microphone-in/Headphone-out jack ,1 x Type-C USB3.1 thế hệ 2 , 1x Thunderbolt, 1 x HDMI, Hỗ trợ HDMI 2.0 , 4 x Cổng USB 3.0 Kiểu A",,DDR4 3200 MHz 16GB (8GB onboard +8GB),,,,,,15.6 inches,,,,, 360 (W) x 252 (D) x 18.9 (H) mm,,,,0,,2.0 KG,,,,,,39.900.000,,,Tấm nền IPS,,,,,,,"90WHrs, 4S1P, 4-cell Li-ion",,,,,,,,, 5.1,,,,,,Có,,Windows 10 SL 64 Bit,0,,,Không,0,,,,,,,,,AMD Ryzen 7 5800HS,,,,Intel Wi-Fi 6 with Gig+ performance (802.11AX),,,,39.990.000,,,,,,2 loa,,,,,,,19,,,0,,,,https://cellphones.com.vn/laptop-asus-rog-zephyrus-g15-ga503qm.html,16GB,,,,,,,,,,,,,,Có,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng",,,,"15.6 WQHD WV,300NITS,DCI-P3:100%, 165Hz AdaptiveSync, Nanoedge",,,,,Laptop ASUS Gaming ROG Zephyrus G15 GA503QM-HQ097T,,,,,,,,,,,,,,,,,,, 512GB SSD NVMe M.2 PCIe Gen 3 x 4
,1920 x 1080 pixels (FullHD),,,,,,NVIDIA® GeForce GTX® 1650 Ti 4GB GDDR6,,Full HD,,,,0,,2 USB 3.1 Gen 1 ports 1 USB 3.2 Gen 1 Type-C port with DisplayPort/Power Delivery  1 cổng USB 3.2 Gen 2 Thunderbolt®/DisplayPort/Power Delivery  1 cổng HDMI 2.0,,"DDR4 2933MHz, 1 khe cắm tối 16GB",,,,,,15.6 inches,,,,,1.89 x 35.61 x 23.45 cm (H x W x D),,,,0,,1.8kg,,,,,,30.990.000,,,Tấm nền VA,,,,,,,"3-Cell, 56WHr",,,,,,,,,v5.0,,,,,,Có,,Windows 10 Home SL ,0,,,Không,0,,,,,,,,,"Intel® Core™ i7-10750H (2.60GHz up to 5.00GHz, 12MB) 6 nhân, 12 luồng",,,,Intel® Wi-Fi 6 AX201 (2x2) Wi-Fi,,,,31.990.000,,,,,,,,,,,,,3,,,0,,,,https://cellphones.com.vn/laptop-dell-inspiron-15-7501-x3mry1.html,8GB,HD Webcam,,,,,,,,,,,,,Có,"Ổ cứng SSD, Wi-Fi 6, Bảo mật vân tay",,,,"Màn hình chống loá, 100%sRGB",,,,,Laptop Dell Inspiron 15 7501 X3MRY1,,,,,,,,,,,,,,,,,,,512GB M.2 PCIe NVMe
,1920 x 1080 pixels (FullHD),,,,,,AMD Radeon™ Graphics,,Full HD,,,,0,,1 x USB 2.0 Type-A 2 x USB 3.1 Gen 1 Type-A 1 x Headphone/Microphone combo audio jack 1 x HDMI,,"DDR4 3200MHz, 2 khe cắm",,,,Vỏ nhựa,,15.6 inches,,,,,1.99 x 36.396 x 24.9 cm (H x W x D),,,,0,,1.83 kg,,,,,,19.990.000,,,,,,,,,,"3 Cell, 42Wh",,,,,,,,,v5.0,,,,,,,,Windows 10 Home SL ,0,,,Không,0,,,,,,,,,"AMD Ryzen 5 3500U 2.10GHz up to 3.70 GHz, 4MB",,,,802.11 ac,,,,20.490.000,,,,,,,,,,,,,3,,,0,,,,https://cellphones.com.vn/laptop-dell-inspiron-15-3505-y1n1t5.html,8GB,HD 720P	,,,,,,,,,,,,,Có,Ổ cứng SSD,,,,Màn hình chống loá,,,,,Laptop Dell Inspiron 15 3505 Y1N1T5,,,,,,,,,,,,,,,,,,,512GB SSD PCIe NVMe
,1920 x 1080 pixels (FullHD),,,,,,Intel Iris Xe Graphics,,Full HD,,,,0,,2x Thunderbolt 4 supports display / power delivery 1x USB 3.2 Gen 1 Type-A 1x HDMI 1.4 1x 3.5mm Combo Audio Jack,,"8GB LPDDR4X on board, không hỗ trợ nâng cấp",,,,,,14 inches,,,,,32.40 x 22.20 x 1.69 ~ 1.73 (cm),,,,0,,1.57 kg,,,,,,31.490.000,,,Tấm nền IPS,,,,,,,4 Cells 70WHrs,,,,,,,,,v5.0,,,,,,Có,,Windows 10 Home SL ,0,,,Có,0,,,,,,,,,Intel Core i5-1135G7 2.4GHz up to 4.2GHz 8MB,,,,Wi-Fi 6(802.11ax) (2x2),,,,32.990.000,,,,,,Harman/Kardon (Premium),,,,,,,4,,,0,,,,https://cellphones.com.vn/laptop-asus-zenbook-ux482ea-ka081t.html,8GB,HD 720p,,,,,,,,,,,,,Có,"Ổ cứng SSD, Wi-Fi 6, Màn hình cảm ứng",,,,"Màn hình chống loá, 100% sRGB",,,,,Laptop ASUS Zenbook UX482EA-KA081T,,,,,,,,,,,,,,,,,,,512GB M.2 NVMe PCIe 3.0 SSD
,3840 x 2160 pixels,,,,,,Intel Iris Xe Graphics,,4K (Ultra HD),,,,0,,2 x Thunderbolt™ 4 USB-C® (lên đến 40 Gbps) 1 x USB 3.2 thế hệ 1 Type-A (lên đến 5 Gbps) 1 x HDMI,," LPDDR4x 4267MHz, không hỗ trợ nâng cấp",,,,Vỏ nhựa,,13.3 inches,,,,,30.5 x 21.1 x 1.39 cm,,,,0,,1.2 kg,,,,,,39.990.000,,,Tấm nền OLED/AMOLED,,,,,,,4 Cell 67WHr Polymer,,,,,,,,,v5.0,,,,,,Có,,Windows 10 Home SL ,0,,,Có,0,,,,,,,,,Intel Core i7-1165G7 2.8GHz up to 4.7GHz 12MB,,,,Intel® WiFi 6 với hiệu năng Gig+ (802.11ax),,,,41.990.000,,,,,,Audio by Harman/Kardon,,,,,,,0,,,0,,,,https://cellphones.com.vn/laptop-asus-zenbook-ux371ea-hl494ts.html,16GB,"HD 720p, Camera IR",,,,,,,,,,,,,Không,"Ổ cứng SSD, Wi-Fi 6, Xoay gập 360 độ (2 in 1), Màn hình cảm ứng, Viền màn hình siêu mỏng, Nhận diện khuôn mặt",,,,"100% sRGB, 100% DCI-P3, 400nits",,,,,Laptop ASUS ZenBook UX371EA,,,,,,,,,,,,,,,,,,,1TB M.2 PCIe® NVMe™ 3.0 x4 
,1080 x 1920 pixels (FullHD),,,,,, Intel UHD Graphics,,Full HD,,,,0,,1x USB 3.1 (Type-C) Gen 1 port (up to 5 Gbps)  2x USB 3.1 Gen 1 Port (one with Power-off Charging)  1x USB 2.0 Port  1x HDMI Port with HDCP Support,,"4GB DDR4 onboard, trống 1 khe",,,,,,15.6 inches,,,,,,,,,0,,,,,,,,12.190.000,,,Tấm nền IPS,,,,,,,,,,,,,,,,Có,,,,,,Có,,Windows 10 Home,0,,,Không,0,,,,,,,,,Intel Core i3-1005G1 Processor (Up to 3.4GHz),,,,WiFi 6 AX201 802.11ax,,,,14.990.000,,,,,, Acer TrueHarmony,,,,,,,35,,,0,,,,https://cellphones.com.vn/laptop-acer-aspire-5-a515-55-35se.html,4GB,HD Webcam,,,,,,,,,,,,,,"Ổ cứng SSD, Wi-Fi 6, Bảo mật vân tay",,,,,,,,,Laptop Acer Aspire 5 A515-55-35SE,,,,,,,,,,,,,,,,,,,128GB NVMe SSD
,1920 x 1080 pixels (FullHD),,,,,,Intel Iris Xe Graphics,,Full HD,,,,0,,1x USB 3.2 Gen 2 Type-C port with DisplayPort alt mode/Power Delivery 2x USB 3.2 Gen 1 Type-A ports 1x HDMI 1.4b 1x RJ-45 1x Headset Jack Finger Print,,"DDR4 3200MHz, 2 khe cắm tối đa 32GB",,,,Vỏ nhựa,,15.6 inches,,,,,356.06 x 228.9 x 17.99 (mm),,,,0,,1.63 Kg,,,,,,21.990.000,,,Tấm nền VA,,,,,,,4 cell 54Whr,,,,,,,,,v5.0,,,,,,Có,,Windows 10 Home SL ,0,,,Không,0,,,,,,,,,Intel Core i5-11300H 2.6GHz up to 4.4GHz 8MB,,,,Intel® Wi-Fi 6 2x2 (Gig+),,,,22.990.000,,,,,,"Stereo speakers, 2 Loa",,,,,,,14,,,0,,,,https://cellphones.com.vn/laptop-dell-vostro-5510-70253901.html,8GB,HD 720p ,,,,,,,,,,,,,Có,"Ổ cứng SSD, Wi-Fi 6",,,,Màn hình chống loá,,,,,Laptop Dell Vostro 5510 70253901,,,,,,,,,,,,,,,,,,,512GB SSD M.2 PCIE
,1920 x 1080 pixels (FullHD),,,,,,AMD Radeon Graphics,,Full HD,,,,0,,"1 x USB 3.2 Gen 1 1 x USB 3.2 Gen 1 (Always On) 1 x USB-C 3.2 Gen 1 (support data transfer, Power Delivery 3.0 and DisplayPort 1.2) 1 x HDMI 1.4b 1 x headphone / microphone combo jack (3.5mm) 1 x 4-in-1 Card Reader",,"8GB DDR4 3200MHz, không hỗ trợ nâng cấp",,,,Vỏ nhựa,,15.6 inches,,,,,356.67 x 233.13 x 17.9-19.9 mm,,,,0,,1.66 kg,,,,,,18.790.000,,,Tấm nền IPS,,,,,,,3Cell 45WHrs,,,,,,,,,v5.0,,,,,,,,Windows 10 Home SL ,0,,,Không,0,,,,,,,,,"CPU AMD Ryzen 7 5700U 1.80GHz up to 4.30GHz, 8 nhân 16 luồng",,,,802.11ac 2x2 ,,,,19.990.000,,,,,,,,,,,,,0,,,0,,,,https://cellphones.com.vn/laptop-lenovo-ideapad-5-15alc05-82ln00cdvn.html,8GB,HD 720p Có màn trập,,,,,,,,,,,,,Có,"Ổ cứng SSD, Wi-Fi 6",,,,"Màn hình chống loá, 300nits, 45% NTSC",,,,,Laptop Lenovo Ideapad 5 15ALC05,,,,,,,,,,,,,,,,,,,512GB SSD M.2 2242 PCIe 3.0x4 NVMe
,1920 x 1080 pixels (FullHD),,,,,,Intel UHD Graphics,,Full HD,,,,0,,2 x USB 3.1 Gen 1 Type-A 1 x USB 3.1 Gen 1 Type-C  1 x HDMI 1 x RJ45 1 x Headphone/Microphone combo audio jack 1 x SATA3 (no cable),,"DDR4/ 3200MHz, 2 khe cắm tối đa 16GB",,,,Vỏ nhựa,,14 inches,,,,,32.4 x 22.59 x 1.99 cm (W x D x H)	,,,,0,,1.426 kg,,,,,,,,,Tấm nền IPS,,,,,,,3 Cell Int (41.04Wh),,,,,,,,,v4.2,,,,,,,,Windows 10 Home SL ,0,,,Không,0,,,,,,,,,Intel Core i3 1005G1,,,,802.11 ac,,,,,,,,,,Realtek High Definition Audio,,,,,,,0,,,0,,,,https://cellphones.com.vn/laptop-hp-240-g8-519a8pa.html,4GB,HD 720p ,,,,,,,,,,,,,Có,Ổ cứng SSD,,,,Màn hình chống loá,,,,,Laptop HP 240 G8 519A8PA,,,,,,,,,,,,,,,,,,,512GB SSD PCIe (M.2 2280)
